7.443, 1.0000, $0.0550, 0.0550
7.36, 1.0000, $0.0200, 0.0200
Sewing Thread, 1.0000, $0.0200, 0.0200
8.6.3.01_2025, 1.0000, $0.0380, 0.0380
12.6.15, 1.0000, $0.0530, 0.0530
8.459, 1.0000, $0.0424, 0.0424
8.6.02.01, 1.0000, $0.0015, 0.0015
10.2.21, 1.0000, $0.0360, 0.0360
ST10210, 1.0000, $0.0150, 0.0150
Dessicant 2g, 1.0000, $0.0350, 0.0350
10.3.10, 1.0000, $0.0500, 0.0500
12.56, 2.0000, $0.0100, 0.0200
Local transportation / documentation, 0.25
FINANCIAL AND OVERHEAD COST, 0.30 or 0.40
MARGIN / PROFIT, 0.45 to 0.55